lAMBDA,CHLA,CHLB,CHLC,PSC,PPC,PEB,PUB
566,0.0009,0.0017,0.0037,0.0043,0,0.00108,0.00019
568,0.001,0.0017,0.0039,0.0039,0,0.00078,0.00017
570,0.0011,0.0018,0.0041,0.0034,0,0.00061,0.00012
572,0.0012,0.0018,0.0043,0.0031,0,0.00045,0.00008
574,0.0013,0.0019,0.0045,0.0027,0,0.00038,0.00006
576,0.0014,0.0019,0.0048,0.0024,0,0.00031,0.00004
578,0.0016,0.0019,0.0052,0.0022,0,0.00026,0.00003
580,0.0017,0.0019,0.0057,0.0019,0,0.00021,0.00001
582,0.0018,0.002,0.006,0.0017,0,0.00019,0.00001
584,0.002,0.002,0.0063,0.0015,0,0.00015,0
586,0.0021,0.0021,0.0064,0.0013,0,0.00014,0
588,0.0022,0.0022,0.0063,0.0012,0,0.00012,0
590,0.0022,0.0023,0.0059,0.001,0,0.00011,0
592,0.0023,0.0024,0.0056,0.0009,0,0.0001,0
594,0.0023,0.0026,0.0051,0.0008,0,0.00009,0
596,0.0023,0.0027,0.0046,0.0007,0,0.00008,0
598,0.0022,0.0028,0.004,0.0006,0,0.00007,0
600,0.0022,0.0029,0.0037,0.0006,0,0.00005,0
602,0.0021,0.0029,0.0034,0.0004,0,0.00005,0
604,0.0021,0.0029,0.0031,0.0004,0,0.00004,0
606,0.0021,0.0028,0.003,0.0004,0,0.00003,0
608,0.0022,0.0027,0.003,0.0003,0,0.00003,0
610,0.0024,0.0026,0.0032,0.0002,0,0.00002,0
612,0.0026,0.0025,0.0033,0.0001,0,0.00001,0
614,0.0029,0.0024,0.0035,0.0001,0,0,0
616,0.0031,0.0024,0.0037,0.0001,0,0,0
618,0.0034,0.0023,0.0038,0,0,0,0
620,0.0036,0.0023,0.0041,0,0,0,0
622,0.0038,0.0023,0.0046,0,0,0,0
624,0.004,0.0023,0.0052,0,0,0,0
626,0.0041,0.0023,0.0058,0,0,0,0
628,0.0041,0.0024,0.0068,0,0,0,0
630,0.0041,0.0025,0.0079,0,0,0,0
632,0.004,0.0027,0.009,0,0,0,0
634,0.0039,0.0031,0.0097,0,0,0,0
636,0.0038,0.0036,0.0098,0,0,0,0
638,0.0036,0.0044,0.0094,0,0,0,0
640,0.0034,0.0054,0.0086,0,0,0,0
642,0.0032,0.0066,0.0072,0,0,0,0
644,0.003,0.008,0.0061,0,0,0,0
646,0.0029,0.0094,0.0047,0,0,0,0
648,0.0029,0.0106,0.0036,0,0,0,0
650,0.003,0.0115,0.0032,0,0,0,0
652,0.0032,0.0118,0.0027,0,0,0,0
654,0.0036,0.0115,0.0024,0,0,0,0
656,0.0042,0.0106,0.0021,0,0,0,0
658,0.0052,0.0091,0.0018,0,0,0,0
660,0.0066,0.0077,0.0015,0,0,0,0
662,0.0082,0.0063,0.0013,0,0,0,0
664,0.0106,0.0046,0.0011,0,0,0,0
666,0.0137,0.0036,0.0008,0,0,0,0
668,0.0155,0.0028,0.0006,0,0,0,0
670,0.0182,0.0021,0.0004,0,0,0,0
672,0.0196,0.0016,0.0003,0,0,0,0
674,0.0203,0.0012,0.0002,0,0,0,0
676,0.0199,0.0009,0.0002,0,0,0,0
678,0.0182,0.0007,0.0001,0,0,0,0
680,0.0154,0.0005,0.0001,0,0,0,0
682,0.0127,0.0004,0.0001,0,0,0,0
684,0.0104,0.0001,0,0,0,0,0
686,0.0076,0.0003,0,0,0,0,0
688,0.0058,0.0002,0,0,0,0,0
690,0.0045,0.0001,0,0,0,0,0
692,0.0033,0.0001,0,0,0,0,0
694,0.002,0.0001,0,0,0,0,0
696,0.0013,0.0001,0,0,0,0,0
698,0.001,0.0001,0,0,0,0,0
700,0.0008,0.0001,0,0,0,0,0
702,0.0006,0,0,0,0,0,0
704,0.0005,0,0,0,0,0,0
706,0.0004,0,0,0,0,0,0
708,0.0004,0,0,0,0,0,0
710,0.0003,0,0,0,0,0,0
712,0.0003,0,0,0,0,0,0
714,0.0002,0,0,0,0,0,0
716,0.0002,0,0,0,0,0,0
718,0.0002,0,0,0,0,0,0
720,0.0002,0,0,0,0,0,0
722,0.0001,0,0,0,0,0,0
724,0.0001,0,0,0,0,0,0
726,0.0001,0,0,0,0,0,0
728,0.0001,0,0,0,0,0,0
730,0.0001,0,0,0,0,0,0
732,0.0001,0,0,0,0,0,0
734,0,0,0,0,0,0,0
736,0,0,0,0,0,0,0
738,0,0,0,0,0,0,0
740,0,0,0,0,0,0,0
742,0,0,0,0,0,0,0
744,0,0,0,0,0,0,0
746,0,0,0,0,0,0,0
748,0,0,0,0,0,0,0
750,0,0,0,0,0,0,0
